                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                0.60509,                0.60242,                 1.1302,                 1.1444,                0.36192,                0.93402,                0.64051,                0.57108,                0.36192,                0.93402,                0.64051,                 0.5733,                0.54295,                0.59105,                 1.3016,                 1.1447,             0.00068204,             0.00068204,             0.00068204
                     42,                0.63786,                0.60459,                 1.1463,                 1.1584,                0.59692,                0.92187,                0.76838,                0.69642,                0.59692,                0.92187,                0.76838,                0.68154,                0.48306,                 0.5732,                0.90983,                 1.1445,             0.00067104,             0.00067104,             0.00067104
                     43,                0.60783,                0.57848,                 1.1302,                 1.1372,                0.19218,                0.23729,                0.15806,                0.04322,                      0,                      0,                      0,                      0,                 3.3176,                 14.313,                 7.6845,                 4.5266,             0.00066005,             0.00066005,             0.00066005
                     44,                0.62407,                0.60864,                 1.1353,                 1.1394,                0.28371,                0.29333,                0.16477,                 0.0464,                      0,                      0,                      0,                      0,                 3.0216,                 14.696,                 3.6534,                 3.5705,             0.00064905,             0.00064905,             0.00064905
                     45,                0.61295,                0.60909,                  1.098,                 1.1305,                0.33353,                 0.4116,                0.32382,                0.10557,                0.01428,                0.06667,                0.00571,                0.00057,                  2.527,                  13.23,                 3.2935,                 3.5965,             0.00063805,             0.00063805,             0.00063805
                     46,                0.60511,                0.58101,                 1.0959,                 1.1141,                0.48055,                0.91633,                0.80421,                0.73051,                0.48055,                0.91633,                0.80421,                0.72211,                0.45361,                0.57138,                 1.0088,                 1.0705,             0.00062705,             0.00062705,             0.00062705
                     47,                0.57205,                0.57016,                 1.0969,                 1.1042,                0.71539,                   0.98,                0.81968,                0.74599,                0.71539,                   0.98,                0.81968,                0.74879,                0.49751,                0.56261,                0.89257,                 1.0922,             0.00061605,             0.00061605,             0.00061605
                     48,                0.62997,                0.60887,                 1.1038,                 1.1254,                0.27832,                0.22667,                0.17711,                0.04246,                      0,                      0,                      0,                      0,                 3.3457,                  14.83,                 6.0157,                 4.5338,             0.00060505,             0.00060505,             0.00060505
                     49,                0.61022,                0.58699,                 1.0954,                  1.115,                0.74511,                0.90019,                0.84781,                0.76901,                0.74511,                0.90019,                0.84781,                0.75991,                0.48958,                0.59099,                0.81141,                 1.1127,             0.00059405,             0.00059405,             0.00059405
                     50,                0.56609,                0.55179,                 1.0378,                 1.1007,                0.69472,                0.95333,                0.86025,                0.80897,                0.69472,                0.95333,                0.86025,                0.77478,                0.40849,                0.57337,                0.81964,                 1.0596,             0.00058305,             0.00058305,             0.00058305
                     51,                0.60983,                 0.5757,                  1.044,                 1.1159,                0.19472,                   0.18,                 0.0895,                0.01531,                      0,                      0,                      0,                      0,                 3.7433,                 13.909,                 5.2683,                 5.2302,             0.00057205,             0.00057205,             0.00057205
                     52,                0.58825,                0.59107,                  1.058,                 1.0988,                0.73127,                0.94132,                0.83587,                0.76316,                0.73127,                0.94132,                0.83587,                0.74942,                0.43613,                0.57661,                 0.7995,                  1.041,             0.00056105,             0.00056105,             0.00056105
                     53,                0.55838,                0.57577,                  1.012,                 1.0824,                0.78203,                0.92475,                0.90671,                0.84378,                0.78203,                0.92475,                0.90671,                0.81041,                0.38561,                0.56087,                0.78825,                 1.0392,             0.00055006,             0.00055006,             0.00055006
                     54,                0.55504,                0.55013,                 1.0053,                 1.0722,                0.76032,                0.94515,                0.90527,                 0.8418,                0.76032,                0.94515,                0.90527,                0.81883,                0.39752,                0.55985,                 0.7294,                 1.0521,             0.00053906,             0.00053906,             0.00053906
                     55,                 0.5601,                0.53919,                  1.008,                 1.0702,                 0.4604,                0.26477,                0.17263,                0.04986,                      0,                      0,                      0,                      0,                 3.0855,                 13.872,                 4.7622,                 4.7283,             0.00052806,             0.00052806,             0.00052806
                     56,                0.55849,                0.55772,                0.98626,                 1.0562,                0.77832,                0.95333,                0.90145,                0.82614,                0.77832,                0.95333,                0.90145,                 0.8134,                0.42052,                0.55316,                0.67812,                  1.033,             0.00051706,             0.00051706,             0.00051706
